Category,comment/name,DOI,units,temperature,cation1,cation1_conc,cation2,cation2_conc,cation3,cation3_conc,cation4,cation4_conc,cation5,cation5_conc,cation6,cation6_conc,cation7,cation7_conc,cation8,cation8_conc,anion1,anion1_conc,anion2,anion2_conc,anion3,anion3_conc,anion4,anion4_conc,anion5,anion5_conc,anion6,anion6_conc,anion7,anion7_conc,anion8,anion8_conc,solvent1,solvent1_ratio,solvent2,solvent2_ratio,solvent3,solvent3_ratio,solvent4,solvent4_ratio,solvent5,solvent5_ratio,solvent6,solvent6_ratio,solvent7,solvent7_ratio,solvent8,solvent8_ratio,category
,PF6,10.1021/jacs.6b04319,volume,300.0,Mg+2,0.7,,,,,,,,,,,,,,,F6P-,1.4,,,,,,,,,,,,,,,C2H3N,1.0,C4H8O,1.0,,,,,,,,,,,,,
,F6P-hightemp,10.1021/jacs.6b04319,volume,350.0,Mg+2,0.7,,,,,,,,,,,,,,,F6P-,1.4,,,,,,,,,,,,,,,C2H3N,1.0,C4H8O,1.0,,,,,,,,,,,,,
,F6P-2,10.1021/jacs.6b04319,volume,300.0,Mg+2,0.1,,,,,,,,,,,,,,,F6P-,0.2,,,,,,,,,,,,,,,C2H3N,1.0,,,,,,,,,,,,,,,
,F6P-2-hightemp,10.1021/jacs.6b04319,volume,350.0,Mg+2,0.1,,,,,,,,,,,,,,,F6P-,0.2,,,,,,,,,,,,,,,C2H3N,1.0,,,,,,,,,,,,,,,
,Mixed5,10.1149/2.0161513jes,volume,300.0,Mg+2,0.75,,,,,,,,,,,,,,,C2F6NO4S2-,0.5,Cl-,1.0,,,,,,,,,,,,,C2H6O,1.0,,,,,,,,,,,,,,,
,Mixed5-hightemp,10.1149/2.0161513jes,volume,350.0,Mg+2,0.75,,,,,,,,,,,,,,,C2F6NO4S2-,0.5,Cl-,1.0,,,,,,,,,,,,,C2H6O,1.0,,,,,,,,,,,,,,,
,IL,10.1149/1.2052048,number,300.0,Mg+2,1.0,C9H20N+piper,3.5,,,,,,,,,,,,,CF3O3S-,2.0,C2F6NO4S2-,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL-hightemp,10.1149/1.2052048,number,400.0,Mg+2,1.0,C9H20N+piper,3.5,,,,,,,,,,,,,CF3O3S-,2.0,C2F6NO4S2-,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moltensalt,10.1016/S0013-4686(96)00322-2,number,920.0,Mg+2,100.0,,,,,,,,,,,,,,,F-,44.0,Cl-,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moltensalt-hightemp,10.1016/S0013-4686(96)00322-2,number,1050.0,Mg+2,100.0,,,,,,,,,,,,,,,F-,44.0,Cl-,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
